symbol,iso,currency,region
$,USD,"美元,US Dollar","美国,United States"
€,EUR,"欧元,Euro","欧洲,Euro Area"
¥,JPY,"日元,Japanese Yen","日本,Japan"
£,GBP,"英镑,British Pound","英国,United Kingdom"
¥,CNY,"人民币,Chinese Yuan","中国,China"
$,AUD,"澳大利亚元,Australian Dollar","澳大利亚,Australia"
$,CAD,"加拿大元,Canadian Dollar","加拿大,Canada"
Fr,CHF,"瑞士法郎,Swiss Franc","瑞士,Switzerland"
$,HKD,"港元,Hong Kong Dollar","香港,Hong Kong"
$,SGD,"新加坡元,Singapore Dollar","新加坡,Singapore"
kr,SEK,"瑞典克朗,Swedish Krona","瑞典,Sweden"
₩,KRW,"韩元,South Korean Won","韩国,South Korea"
kr,NOK,"挪威克朗,Norwegian Krone","挪威,Norway"
$,NZD,"新西兰元,New Zealand Dollar","新西兰,New Zealand"
₹,INR,"印度卢比,Indian Rupee","印度,India"
$,MXN,"墨西哥比索,Mexican Peso","墨西哥,Mexico"
$,TWD,"新台币,New Taiwan Dollar","台湾, Taiwan"
R,ZAR,"南非兰特,South African Rand","南非,South Africa"
R$,BRL,"巴西雷亚尔,Brazilian Real","巴西,Brazil"
kr,DKK,"丹麦克朗,Danish Krone","丹麦,Denmark"
zł,PLN,"波兰兹罗提,Polish Gold","波兰,Poland"
฿,THB,"泰铢,Thai Baht","泰国,Thailand"
₪,ILS,"以色列新谢克尔,Israeli New Shekel","以色列,Israel"
Rp,IDR,"印度尼西亚卢比,Indonesian Rupiah","印度尼西亚,Indonesia"
Kč,CZK,"捷克克朗,Czech Koruna","捷克,Czech Republic"
د.إ,AED,"阿联酋迪拉姆,UAE Dirham","阿联酋,United Arab Emirates"
₺,TRY,"土耳其里拉,Turkish Lira","土耳其,Turkey"
Ft,HUF,"匈牙利福林,Hungarian Forint","匈牙利,Hungary"
$,CLP,"智利比索,Chilean Peso","智利,Chile"
ر.س,SAR,"沙特里亚尔,Saudi Riyal","沙特阿拉伯,Saudi Arabia"
₱,PHP,"菲律宾比索,Philippine Peso","菲律宾,Philippines"
RM,MYR,"马来西亚林吉特,Malaysian Ringgit","马来西亚,Malaysia"
$,COP,"哥伦比亚比索,Colombian Peso","哥伦比亚,Colombia"
₽,RUB,"俄罗斯卢布,Russian Ruble","俄罗斯,Russia"
L,RON,"罗马尼亚列伊,Romanian Leu","罗马尼亚,Romania"
S/,PEN,"秘鲁新索尔,Peruvian Sol","秘鲁,Peru"
BD,BHD,"巴林第纳尔,Bahraini Dinar","巴林,Bahrain"
лв,BGN,"保加利亚列弗,Bulgarian Lev","保加利亚,Bulgaria"
$,ARS,"阿根廷比索,Argentine Peso","阿根廷,Argentina"
